GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
paybridge-stripe,com.paybridge.stripe,StripeConfiguration,10,20,2,2,0,1,3,1,1,1
paybridge-stripe,com.paybridge.stripe,StripePaymentGateway,203,224,27,6,6,7,25,10,6,10
