GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
paybridge-portpos,com.paybridge.portpos,PortPosConfiguration,16,34,4,4,0,1,5,1,1,1
paybridge-portpos,com.paybridge.portpos,PortPosPaymentGateway,123,422,26,15,1,6,26,12,4,11
